"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"sarah 38";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 36";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JUN 2024 - DEC 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""SEPT 2023 - MAY 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 35";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 34";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 -2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 33";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 32";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JUN 2024 - DEC 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""SEPT 2023 - MAY 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 31";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School at Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers at Marseille"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 30";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 29";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 28";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 27";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 to 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 to Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 to May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 26";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 -2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Specialization in Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 25";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"{""studies"":[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]}";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 24";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School, Marseille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""not found"",""university"":""Lycee Thiers, Marseille"",""country or city"":""not found"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oreal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 23";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oreal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 22";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 - 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""JUN 2024 - DEC 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""SEPT 2023 - MAY 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 21";"[{""desc"":""Personal Instagram portfolio focused on lifestyle and travel photography."",""title"":""Photography""},{""desc"":""Strong interest in fashion, consumer trends, and contemporary art exhibitions."",""title"":""Cultural Trends""}]";"[{""dates"":""2022 -2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""2022"",""field"":""Economics & Social Sciences"",""university"":""Lycee Thiers"",""country or city"":""Marseille"",""level_of_degree"":""French Baccalaureat""}]";"[{""dates"":""Jun 2024 - Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""Sept 2023 - May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant (Part-time)"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"maxime 40";"[{""desc"":null,""title"":""Industrial Innovation""},{""desc"":""technologies."",""title"":""Strong interest in Industry 4.0 and automation""},{""desc"":null,""title"":""Team Sports""},{""desc"":""(regional league)."",""title"":""Competitive basketball""}]";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""IMT Nord"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 39";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021-2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Engineering Sciences"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""06/2024-09/2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""02/2024-05/2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 38";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Engineering Sciences"",""university"":""Lycée Faidherbe"",""country or city"":""Lille"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 37";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Engineering Sciences"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""Lille"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics, Lille"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes\nand identified efficiency\nimprovement areas. Supported\nthe implementation of lean\nmanagement tools. Built\nperformance dashboards to"",""country or city"":""not found""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project\n(Academic)"",""description"":""Modeled supply chain\nflows and demand\nforecasts for a retail\ncompany. Proposed inventory\noptimization strategies to\nreduce stockouts."",""country or city"":""Lille""}]"
"maxime 36";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""Mathematics & Engineering Sciences"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""Lille"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - SEPT 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""FEB 2024 - MAY 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 35";"[{""desc"":null,""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 34";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
"maxime 33";"[{""desc"":""Strong interest in Industry 4.0 and automation technologies."",""title"":""Industrial Innovation""},{""desc"":""Competitive basketball (regional league)."",""title"":""Team Sports""}]";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""IMT Nord Europe, Lille"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""2021"",""field"":""Specialization in Mathematics & Engineering Sciences"",""university"":""Lycée Faidherbe, Lille"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Sept 2024"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille""},{""dates"":""Feb 2024 - May 2024"",""company"":""not found"",""job title"":""Supply Chain Project (Academic)"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille""}]"
